company_name,symbol,exchange,sector,industry,theme,market_cap_type,is_sme
Dekson Castings Ltd (ITP),DEKSON (ITP),BSE SME,-,-,,Micro,True
Desco Infratech Ltd,DESCO,BSE SME,Construction,Construction,,Micro,True
Dev Labtech Venture Ltd,DEVLAB,BSE SME,Consumer Durables,Consumer Durables,,Micro,True
Dindigul Farm Product Ltd,DFPL,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
Diksha Greens Ltd,DGL,BSE SME,Services,Services,,Micro,True
Dharni Capital Services Ltd,DHARNI,BSE SME,Financial Services,Financial Services,,Micro,True
Dhillon Freight Carrier Ltd,DHILLON,BSE SME,Services,Services,,Micro,True
Dhyaani Tradeventtures Ltd,DHYAANITR,BSE SME,Services,Services,,Micro,True
Digilogic Systems Ltd,DIGILOGIC,BSE SME,Capital Goods,Capital Goods,,Micro,True
Diksat Transworld Ltd,DIKSAT,BSE SME,"Media, Entertainment & Publication","Media, Entertainment & Publication",,Micro,True
Diksha Polymers Ltd,DIKSHA,BSE SME,Capital Goods,Capital Goods,,Micro,True
Dolphin Kitchen Utensils and Appliances Ltd,DKUAL,BSE SME,Consumer Durables,Consumer Durables,,Micro,True
Dr Lalchandani Labs Ltd,DLCL,BSE SME,Healthcare,Healthcare,,Micro,True
Diggi Multitrade Ltd,DML,BSE SME,Services,Services,,Micro,True
DMR Engineering Ltd,DMR,BSE SME,Services,Services,,Micro,True
Dipna Pharmachem Ltd,DPL,BSE SME,Healthcare,Healthcare,,Micro,True
DRA Consultants Ltd,DRA,BSE SME,Services,Services,,Micro,True
Droneacharya Aerial Innovations Ltd,DRONACHRYA,BSE SME,Services,Services,,Micro,True
Dhruv Wellness Ltd,DWL,BSE SME,Services,Services,,Micro,True
Earkart Ltd,EARKART,BSE SME,Healthcare,Healthcare,,Micro,True
Earthstahl & Alloys Ltd,EARTH,BSE SME,Capital Goods,Capital Goods,,Micro,True
Esteem Bio Organic Food Processing Ltd,EBFL,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
Eco Friendly Food Processing Park Ltd,EFPL,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
Eighty Jewellers Ltd,EIGHTY,BSE SME,Consumer Durables,Consumer Durables,,Micro,True
East India Securities Ltd,EIS,BSE SME,Financial Services,Financial Services,,Micro,True
Ekennis Software Service Ltd,EKENNIS,BSE SME,Information Technology,Information Technology,,Micro,True
Elfin Agro India Ltd,ELFIN,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
Emiac Technologies Ltd,EMIAC,BSE SME,"Media, Entertainment & Publication","Media, Entertainment & Publication",,Micro,True
Emmforce Autotech Ltd,EMMFORCE,BSE SME,Automobile and Auto Components,Automobile and Auto Components,,Micro,True
Encash Entertainment Ltd,ENCASH,BSE SME,"Media, Entertainment & Publication","Media, Entertainment & Publication",,Micro,True
